Year,Model,Config,MPGe_combined,MPGe_city,MPGe_highway,price_low,price_high,range_in_miles
2020,2020 Nissan Leaf (40 kW-hr battery pack),"Automatic (A1), Electricity",111,123,99,31600.0,31600.0,149
2020,2020 Tesla Model Y Performance AWD (21in Wheels),"Automatic (A1), Electricity",111,116,106,,,291
2020,2020 Tesla Model S Long Range,"Automatic (A1), Electricity",111,115,107,79990.0,79990.0,373
2020,2020 Tesla Model S Standard Range,"Automatic (A1), Electricity",109,113,105,,,287
2020,2020 Nissan Leaf (62 kW-hr battery pack),"Automatic (A1), Electricity",108,118,97,38200.0,38200.0,226
2020,2020 MINI Cooper SE Hardtop 2 door,"Automatic (A1), Electricity",108,115,100,29900.0,29900.0,110
2020,2020 Tesla Model X Long Range Plus,"Automatic (A1), Electricity",105,108,101,79990.0,79990.0,351
2020,2020 Nissan Leaf SV/SL (62 kW-hr battery pack),"Automatic (A1), Electricity",104,114,94,34190.0,43900.0,215
2020,2020 Tesla Model S Performance (19in Wheels),"Automatic (A1), Electricity",104,104,104,91990.0,91990.0,348
2020,2020 Tesla Model X Standard Range,"Automatic (A1), Electricity",101,105,98,,,258
2020,2020 Tesla Model S Performance (21in Wheels),"Automatic (A1), Electricity",97,98,96,91990.0,91990.0,326
2020,2020 Tesla Model X Long Range,"Automatic (A1), Electricity",96,99,93,84990.0,84990.0,328
2020,2020 Tesla Model X Performance (20in Wheels),"Automatic (A1), Electricity",90,90,89,99990.0,99990.0,305
2020,2020 Tesla Model X Performance (22in Wheels),"Automatic (A1), Electricity",79,80,77,99990.0,99990.0,272
2020,2020 Audi e-tron Sportback,"Automatic (A1), Electricity",77,76,78,77400.0,83400.0,218
2020,2020 Jaguar I-Pace,"Automatic (A1), Electricity",76,80,72,69850.0,80900.0,234
2020,2020 BYD e6,"Automatic (A1), Electricity",72,73,71,,,187
2020,2020 Porsche Taycan 4S Perf Battery Plus,"Automatic (A2), Electricity",69,68,71,103800.0,103800.0,203
2020,2020 Porsche Taycan Turbo,"Automatic (A2), Electricity",69,68,71,150900.0,150900.0,201
2020,2020 Porsche Taycan Turbo S,"Automatic (A2), Electricity",68,67,68,185000.0,185000.0,192
2021,2021 Tesla Model 3 Standard Range Plus RWD,"Automatic (A1), Electricity",142,150,133,41990.0,41990.0,263
2021,2021 Tesla Model 3 Long Range AWD,"Automatic (A1), Electricity",134,141,127,50990.0,50990.0,353
2021,2021 Hyundai Ioniq Electric,"Automatic (A1), Electricity",133,145,121,33245.0,38815.0,170
2021,2021 Tesla Model Y Standard Range RWD,"Automatic (A1), Electricity",129,140,119,39990.0,39990.0,244
2021,2021 Tesla Model Y Long Range AWD,"Automatic (A1), Electricity",125,131,117,57990.0,57990.0,326
2021,2021 Hyundai Kona Electric,"Automatic (A1), Electricity",120,132,108,37390.0,45600.0,258
2021,2021 Tesla Model S Long Range,"Automatic (A1), Electricity",120,124,115,89990.0,89990.0,405
2021,2021 Chevrolet Bolt EV,"Automatic (variable gear ratios), Electricity",118,127,108,36500.0,41700.0,259
2021,2021 Kandi K27,"Automatic (A1), Electricity",114,127,102,,,59
2021,2021 BMW i3,"Automatic (A1), Electricity",113,124,102,44450.0,44450.0,153
2021,2021 BMW i3s,"Automatic (A1), Electricity",113,124,102,47650.0,47650.0,153
2021,2021 Tesla Model 3 Performance AWD,"Automatic (A1), Electricity",113,118,107,58990.0,58990.0,315
2021,2021 Kia Niro Electric,"Automatic (A1), Electricity",112,123,102,39090.0,44650.0,239
2021,2021 Nissan Leaf (40 kW-hr battery pack),"Automatic (A1), Electricity",111,123,99,,,149
2021,2021 Tesla Model Y Performance AWD,"Automatic (A1), Electricity",111,115,106,62990.0,62990.0,303
2021,2021 Tesla Model S Performance (19in Wheels),"Automatic (A1), Electricity",110,114,106,,,387
2021,2021 Nissan Leaf (62 kW-hr battery pack),"Automatic (A1), Electricity",108,118,97,38270.0,38270.0,226
2021,2021 MINI Cooper SE Hardtop 2 door,"Automatic (A1), Electricity",108,115,100,,,110
2021,2021 Tesla Model X Long Range Plus,"Automatic (A1), Electricity",105,109,101,99990.0,99990.0,371
2021,2021 Nissan Leaf SV/SL (62 kW-hr battery pack),"Automatic (A1), Electricity",104,114,94,34960.0,43970.0,215
2021,2021 Ford Mustang Mach-E RWD California Route 1,"Automatic (A1), Electricity",101,108,94,,,305
2021,2021 Tesla Model S Plaid (21inch wheels),"Automatic (A1), Electricity",101,102,99,129990.0,129990.0,348
2021,2021 Ford Mustang Mach-E RWD,"Automatic (A1), Electricity",100,105,93,42895.0,47600.0,230
2021,2021 Volkswagen ID.4 Pro,"Automatic (A1), Electricity",99,107,91,39995.0,39995.0,260
2021,2021 Ford Mustang Mach-E RWD Extended,"Automatic (A1), Electricity",97,104,90,,,300
2021,2021 Volkswagen ID.4 1st,"Automatic (A1), Electricity",97,104,89,43995.0,43995.0,250
2021,2021 Volkswagen ID.4 Pro S,"Automatic (A1), Electricity",97,104,89,44495.0,44495.0,250
2021,2021 Volkswagen ID.4 AWD Pro,"Automatic (A1), Electricity",97,102,90,43675.0,43675.0,249
2021,2021 Tesla Model X Performance (20in Wheels),"Automatic (A1), Electricity",97,100,95,,,341
2021,2021 Tesla Model S Performance (21in Wheels),"Automatic (A1), Electricity",96,98,93,,,334
2021,2021 Ford Mustang Mach-E AWD,"Automatic (A1), Electricity",93,100,86,45595.0,50300.0,211
2021,2021 Volkswagen ID.4 AWD Pro S,"Automatic (A1), Electricity",93,98,88,48175.0,48175.0,240
2021,2021 Polestar 2,"Automatic (A1), Electricity",92,96,88,,,233
2021,2021 Ford Mustang Mach-E AWD Extended,"Automatic (A1), Electricity",90,96,84,58900.0,59900.0,270
2021,2021 Tesla Model X Performance (22in Wheels),"Automatic (A1), Electricity",86,89,83,,,300
2021,2021 Ford Mustang Mach-E GT,"Automatic (A1), Electricity",84,90,77,59900.0,59900.0,270
2021,2021 Ford Mustang Mach-E GT Performance,"Automatic (A1), Electricity",82,88,75,59900.0,59900.0,260
2021,2021 Volvo XC40 AWD BEV,"Automatic (A1), Electricity",79,85,72,,,208
2021,2021 Porsche Taycan 4S Perf Battery,"Automatic (A2), Electricity",79,79,80,103800.0,103800.0,199
2021,2021 Porsche Taycan Perf Battery,"Automatic (A2), Electricity",79,76,84,79900.0,79900.0,200
